parent-sku,creation-date,name,sku,breeder,price,msrp,pack-size,description,aka,genetics,variety,flowering-time,flowering-type,sex,thc-content,cbd-content,yield,grows,plant-height,medical-conditions,medical-properties,effect,url,image-1,image-2,categories
ketama,"2009-06-05 09:05:17","Ketama Feminised Seeds",WOS3-4050844,"World of Seeds",9.2500,18.5000,"3 Seeds","This strain comes from the North of Morocco but was acclimatized to European latitudes at the beginning of the 1990s.  This was a difficult task as it was accustomed to inert, stony soils in arid areas with dry climates.  It doesn&rsquo;t need much watering or fertilization to produce big resinous buds.  Over fertilization can tend to reduce potency.   It is a powerful, resinous, indica landrace strain that finishes early and is very resistant to diseases and pests.  It is the most popular strain, favoured by the Moroccans for producing one of the best hashishes in the world.  Welcome to the Mahoma route&hellip;Salam!",,"North Moroccan (Ketama)",Indica,"7 - 8 Weeks",Photoperiod,Feminised,16.2%,Unknown,Medium,"Greenhouse,Grows indoors,Grows outdoors",,,,"Relaxing,Sedative,Strong",https://tiger-one.eu/en/categories/feminised-cannabis-seeds/ketama-seeds-3,,,"World of Seeds, Wholesale Cannabis Seeds, Feminised Cannabis Seeds"
kilimanjaro,"2009-06-05 09:25:50","Kilimanjaro Feminised Seeds",kilimanjaro,"World of Seeds",0.0000,19.5000,,"Kilimanjaro is a pure, early maturing, African sativa, that comes from the hillsides of the Kilimanjaro in Kenya.  It is the result of some years of endogenous production by natives who call it &ldquo;elephant killer&rdquo;.  It is used by them in religious rituals and hunting for its stimulating effects.  It is one of the best strains for outdoor or greenhouse cultivation.  It can produce good compact buds even under poor conditions.  It stands above the rest for its pleasant taste and powerful effect.",,Kenyan,Sativa,"9-10 Weeks",Photoperiod,Feminised," up to 20%",Unknown,Medium,"Greenhouse,Grows indoors",,,,"Cerebral,Energetic,Powerful,Stimulating ",https://tiger-one.eu/en/categories/feminised-cannabis-seeds/kilimanjaro-feminised-seeds,http://tiger-one.eu/media/catalog/product/k/i/kilimanjaro_1.jpg,http://tiger-one.eu/media/catalog/product/f/i/file_42_13.jpg,"World of Seeds, Wholesale Cannabis Seeds, Feminised Cannabis Seeds"
kilimanjaro,"2009-06-05 09:25:50","Kilimanjaro Feminised Seeds",WOS12-4040847,"World of Seeds",37.5000,75.0000,"12 Seeds","Kilimanjaro is a pure, early maturing, African sativa, that comes from the hillsides of the Kilimanjaro in Kenya.  It is the result of some years of endogenous production by natives who call it &ldquo;elephant killer&rdquo;.  It is used by them in religious rituals and hunting for its stimulating effects.  It is one of the best strains for outdoor or greenhouse cultivation.  It can produce good compact buds even under poor conditions.  It stands above the rest for its pleasant taste and powerful effect.",,Kenyan,Sativa,"9-10 Weeks",Photoperiod,Feminised," up to 20%",Unknown,Medium,"Greenhouse,Grows indoors",,,,"Cerebral,Energetic,Powerful,Stimulating ",https://tiger-one.eu/en/categories/feminised-cannabis-seeds/kilimanjaro-seeds-12,,,"World of Seeds, Wholesale Cannabis Seeds, Feminised Cannabis Seeds"
kilimanjaro,"2009-06-05 09:25:50","Kilimanjaro Feminised Seeds",WOS7-4060847,"World of Seeds",22.5000,45.0000,"7 Seeds","Kilimanjaro is a pure, early maturing, African sativa, that comes from the hillsides of the Kilimanjaro in Kenya.  It is the result of some years of endogenous production by natives who call it &ldquo;elephant killer&rdquo;.  It is used by them in religious rituals and hunting for its stimulating effects.  It is one of the best strains for outdoor or greenhouse cultivation.  It can produce good compact buds even under poor conditions.  It stands above the rest for its pleasant taste and powerful effect.",,Kenyan,Sativa,"9-10 Weeks",Photoperiod,Feminised," up to 20%",Unknown,Medium,"Greenhouse,Grows indoors",,,,"Cerebral,Energetic,Powerful,Stimulating ",https://tiger-one.eu/en/categories/feminised-cannabis-seeds/kilimanjaro-seeds-7,,,"World of Seeds, Wholesale Cannabis Seeds, Feminised Cannabis Seeds"
kilimanjaro,"2009-06-05 09:25:50","Kilimanjaro Feminised Seeds",WOS3-4050847,"World of Seeds",9.7500,19.5000,"3 Seeds","Kilimanjaro is a pure, early maturing, African sativa, that comes from the hillsides of the Kilimanjaro in Kenya.  It is the result of some years of endogenous production by natives who call it &ldquo;elephant killer&rdquo;.  It is used by them in religious rituals and hunting for its stimulating effects.  It is one of the best strains for outdoor or greenhouse cultivation.  It can produce good compact buds even under poor conditions.  It stands above the rest for its pleasant taste and powerful effect.",,Kenyan,Sativa,"9-10 Weeks",Photoperiod,Feminised," up to 20%",Unknown,Medium,"Greenhouse,Grows indoors",,,,"Cerebral,Energetic,Powerful,Stimulating ",https://tiger-one.eu/en/categories/feminised-cannabis-seeds/kilimanjaro-seeds-3,,,"World of Seeds, Wholesale Cannabis Seeds, Feminised Cannabis Seeds"
pakistan-valley,"2009-06-05 09:32:34","Pakistan Valley Feminised Seeds",pakistan-valley,"World of Seeds",0.0000,19.5000,,"Pakistan Valley comes from the mountainous area of the Hindu Kush in Northern Pakistan.  After some years of selection World of Seeds offer you an excellent pure landrace indica.  It is unmistakable due to its robust, branchy exterior and its intense smell and potency.  It is sweet, narcotic, and high in CBD making it one of the better medicinal strains.  It is perfectly suited for indoor cultivation, but it is recommended not to leave it in the vegetative stage for more than 3 weeks.",,"Hindu Kush",Indica,"6 - 8 Weeks",Photoperiod,Feminised,21.20%,Unknown,Medium,"Grows indoors,Grows outdoors",,"Insomnia,Pain,Stress",Yes,"Body,Long-lasting,Physical,Powerful,Relaxing,Sedative",https://tiger-one.eu/en/categories/feminised-cannabis-seeds/pakistan-valley-feminised-seeds,http://tiger-one.eu/media/catalog/product/p/a/pakistanvalley_1.jpg,http://tiger-one.eu/media/catalog/product/f/i/file_42_12.jpg,"World of Seeds, Wholesale Cannabis Seeds, Feminised Cannabis Seeds"
pakistan-valley,"2009-06-05 09:32:34","Pakistan Valley Feminised Seeds",WOS12-4040846,"World of Seeds",37.5000,75.0000,"12 Seeds","Pakistan Valley comes from the mountainous area of the Hindu Kush in Northern Pakistan.  After some years of selection World of Seeds offer you an excellent pure landrace indica.  It is unmistakable due to its robust, branchy exterior and its intense smell and potency.  It is sweet, narcotic, and high in CBD making it one of the better medicinal strains.  It is perfectly suited for indoor cultivation, but it is recommended not to leave it in the vegetative stage for more than 3 weeks.",,"Hindu Kush",Indica,"6 - 8 Weeks",Photoperiod,Feminised,21.20%,Unknown,Medium,"Grows indoors,Grows outdoors",,"Insomnia,Pain,Stress",Yes,"Body,Long-lasting,Physical,Powerful,Relaxing,Sedative",https://tiger-one.eu/en/categories/feminised-cannabis-seeds/pakistan-valley-seeds-12,,,"World of Seeds, Wholesale Cannabis Seeds, Feminised Cannabis Seeds"
pakistan-valley,"2009-06-05 09:32:34","Pakistan Valley Feminised Seeds",WOS7-4060846,"World of Seeds",22.5000,45.0000,"7 Seeds","Pakistan Valley comes from the mountainous area of the Hindu Kush in Northern Pakistan.  After some years of selection World of Seeds offer you an excellent pure landrace indica.  It is unmistakable due to its robust, branchy exterior and its intense smell and potency.  It is sweet, narcotic, and high in CBD making it one of the better medicinal strains.  It is perfectly suited for indoor cultivation, but it is recommended not to leave it in the vegetative stage for more than 3 weeks.",,"Hindu Kush",Indica,"6 - 8 Weeks",Photoperiod,Feminised,21.20%,Unknown,Medium,"Grows indoors,Grows outdoors",,"Insomnia,Pain,Stress",Yes,"Body,Long-lasting,Physical,Powerful,Relaxing,Sedative",https://tiger-one.eu/en/categories/feminised-cannabis-seeds/pakistan-valley-seeds-7,,,"World of Seeds, Wholesale Cannabis Seeds, Feminised Cannabis Seeds"
pakistan-valley,"2009-06-05 09:32:34","Pakistan Valley Feminised Seeds",WOS3-4050846,"World of Seeds",9.7500,19.5000,"3 Seeds","Pakistan Valley comes from the mountainous area of the Hindu Kush in Northern Pakistan.  After some years of selection World of Seeds offer you an excellent pure landrace indica.  It is unmistakable due to its robust, branchy exterior and its intense smell and potency.  It is sweet, narcotic, and high in CBD making it one of the better medicinal strains.  It is perfectly suited for indoor cultivation, but it is recommended not to leave it in the vegetative stage for more than 3 weeks.",,"Hindu Kush",Indica,"6 - 8 Weeks",Photoperiod,Feminised,21.20%,Unknown,Medium,"Grows indoors,Grows outdoors",,"Insomnia,Pain,Stress",Yes,"Body,Long-lasting,Physical,Powerful,Relaxing,Sedative",https://tiger-one.eu/en/categories/feminised-cannabis-seeds/pakistan-valley-seeds-3,,,"World of Seeds, Wholesale Cannabis Seeds, Feminised Cannabis Seeds"
south-african-kwazulu,"2009-06-05 09:38:59","S. African Kwazulu Feminised Seeds",south-african-kwazulu,"World of Seeds",0.0000,21.0000,,"Kwazulu is a wild, pure sativa strain from the north of the Drakenbergs range.  It has a short flowering time, sweet flavour and energetic effect.  It has been cultivated by the Zulus for several generations when governed by Shaka one of the most significant warriors and farmers in African history.  The legend says that this plant was used by the Zulus in warrior rites before the first attack in 1879.  Its long lasting and energetic effects gave warriors increased strength to defeat the British army, which was both larger and better armed.   It is one of the strains more resistant to mould and pests.  Its genetics allow it to be cultivated indoors and outdoors at European latitudes.",,"Kwazulu (South African)",Sativa,"8 - 9 Weeks",Photoperiod,Feminised,17.30%,Unknown,Medium,"Greenhouse,Grows indoors,Grows outdoors",,,,"Cerebral,Energetic,Stimulating ,Uplifting",https://tiger-one.eu/en/categories/feminised-cannabis-seeds/s-african-kwazulu-seeds,http://tiger-one.eu/media/catalog/product/k/w/kwazulu_1.jpg,http://tiger-one.eu/media/catalog/product/f/i/file_41_12.jpg,"World of Seeds, Wholesale Cannabis Seeds, Feminised Cannabis Seeds"
south-african-kwazulu,"2009-06-05 09:38:59","S. African Kwazulu Feminised Seeds",WOS12-4041845,"World of Seeds",40.0000,80.0000,"12 Seeds","Kwazulu is a wild, pure sativa strain from the north of the Drakenbergs range.  It has a short flowering time, sweet flavour and energetic effect.  It has been cultivated by the Zulus for several generations when governed by Shaka one of the most significant warriors and farmers in African history.  The legend says that this plant was used by the Zulus in warrior rites before the first attack in 1879.  Its long lasting and energetic effects gave warriors increased strength to defeat the British army, which was both larger and better armed.   It is one of the strains more resistant to mould and pests.  Its genetics allow it to be cultivated indoors and outdoors at European latitudes.",,"Kwazulu (South African)",Sativa,"8 - 9 Weeks",Photoperiod,Feminised,17.30%,Unknown,Medium,"Greenhouse,Grows indoors,Grows outdoors",,,,"Cerebral,Energetic,Stimulating ,Uplifting",https://tiger-one.eu/en/categories/feminised-cannabis-seeds/s-african-kwazulu-seeds-12,,,"World of Seeds, Wholesale Cannabis Seeds, Feminised Cannabis Seeds"
south-african-kwazulu,"2009-06-05 09:38:59","S. African Kwazulu Feminised Seeds",WOS7-4061845,"World of Seeds",24.0000,48.0000,"7 Seeds","Kwazulu is a wild, pure sativa strain from the north of the Drakenbergs range.  It has a short flowering time, sweet flavour and energetic effect.  It has been cultivated by the Zulus for several generations when governed by Shaka one of the most significant warriors and farmers in African history.  The legend says that this plant was used by the Zulus in warrior rites before the first attack in 1879.  Its long lasting and energetic effects gave warriors increased strength to defeat the British army, which was both larger and better armed.   It is one of the strains more resistant to mould and pests.  Its genetics allow it to be cultivated indoors and outdoors at European latitudes.",,"Kwazulu (South African)",Sativa,"8 - 9 Weeks",Photoperiod,Feminised,17.30%,Unknown,Medium,"Greenhouse,Grows indoors,Grows outdoors",,,,"Cerebral,Energetic,Stimulating ,Uplifting",https://tiger-one.eu/en/categories/feminised-cannabis-seeds/s-african-kwazulu-seeds-7,,,"World of Seeds, Wholesale Cannabis Seeds, Feminised Cannabis Seeds"
south-african-kwazulu,"2009-06-05 09:38:59","S. African Kwazulu Feminised Seeds",WOS3-4051845,"World of Seeds",10.5000,21.0000,"3 Seeds","Kwazulu is a wild, pure sativa strain from the north of the Drakenbergs range.  It has a short flowering time, sweet flavour and energetic effect.  It has been cultivated by the Zulus for several generations when governed by Shaka one of the most significant warriors and farmers in African history.  The legend says that this plant was used by the Zulus in warrior rites before the first attack in 1879.  Its long lasting and energetic effects gave warriors increased strength to defeat the British army, which was both larger and better armed.   It is one of the strains more resistant to mould and pests.  Its genetics allow it to be cultivated indoors and outdoors at European latitudes.",,"Kwazulu (South African)",Sativa,"8 - 9 Weeks",Photoperiod,Feminised,17.30%,Unknown,Medium,"Greenhouse,Grows indoors,Grows outdoors",,,,"Cerebral,Energetic,Stimulating ,Uplifting",https://tiger-one.eu/en/categories/feminised-cannabis-seeds/s-african-kwazulu-seeds-3,,,"World of Seeds, Wholesale Cannabis Seeds, Feminised Cannabis Seeds"
wild-thailand,"2009-06-05 16:49:32","Wild Thailand Feminised Seeds",wild-thailand,"World of Seeds",0.0000,17.5000,,"Wild Thailand is a pure landrace strain coming from the islands of Ko Chang in Thailand.  It is one of the strains with the highest THC content in the world.  It is loved by the rural Thai farmers who take it Bangkok to sell, risking the very harsh penalties of Thai drug laws.     Wild Thailand is one of the most productive strains in Thailand possibly due to the relative short flowering time compared to some other Thai strains.  Its smell and taste will take you closer to Asia and its effects will show you the mysterious temples of Bangkok.",,"Ko Chang","Mostly Sativa","11 - 13 Weeks",Photoperiod,Feminised,22.30%,Unknown,Medium,"Greenhouse,Grows indoors",,,,"Euphoric,Powerful",https://tiger-one.eu/en/categories/feminised-cannabis-seeds/wild-thailand-seeds,http://tiger-one.eu/media/catalog/product/w/i/wildthailand_1.jpg,http://tiger-one.eu/media/catalog/product/f/i/file_42_11.jpg,"World of Seeds, Wholesale Cannabis Seeds, Feminised Cannabis Seeds"
wild-thailand,"2009-06-05 16:49:32","Wild Thailand Feminised Seeds",WOS12-4040853,"World of Seeds",34.5000,69.0000,"12 Seeds","Wild Thailand is a pure landrace strain coming from the islands of Ko Chang in Thailand.  It is one of the strains with the highest THC content in the world.  It is loved by the rural Thai farmers who take it Bangkok to sell, risking the very harsh penalties of Thai drug laws.     Wild Thailand is one of the most productive strains in Thailand possibly due to the relative short flowering time compared to some other Thai strains.  Its smell and taste will take you closer to Asia and its effects will show you the mysterious temples of Bangkok.",,"Ko Chang","Mostly Sativa","11 - 13 Weeks",Photoperiod,Feminised,22.30%,Unknown,Medium,"Greenhouse,Grows indoors",,,,"Euphoric,Powerful",https://tiger-one.eu/en/categories/feminised-cannabis-seeds/wild-thailand-seeds-12,,,"World of Seeds, Wholesale Cannabis Seeds, Feminised Cannabis Seeds"
wild-thailand,"2009-06-05 16:49:32","Wild Thailand Feminised Seeds",WOS7-4060853,"World of Seeds",20.0000,40.0000,"7 Seeds","Wild Thailand is a pure landrace strain coming from the islands of Ko Chang in Thailand.  It is one of the strains with the highest THC content in the world.  It is loved by the rural Thai farmers who take it Bangkok to sell, risking the very harsh penalties of Thai drug laws.     Wild Thailand is one of the most productive strains in Thailand possibly due to the relative short flowering time compared to some other Thai strains.  Its smell and taste will take you closer to Asia and its effects will show you the mysterious temples of Bangkok.",,"Ko Chang","Mostly Sativa","11 - 13 Weeks",Photoperiod,Feminised,22.30%,Unknown,Medium,"Greenhouse,Grows indoors",,,,"Euphoric,Powerful",https://tiger-one.eu/en/categories/feminised-cannabis-seeds/wild-thailand-seeds-7,,,"World of Seeds, Wholesale Cannabis Seeds, Feminised Cannabis Seeds"
wild-thailand,"2009-06-05 16:49:32","Wild Thailand Feminised Seeds",WOS3-4050853,"World of Seeds",8.7500,17.5000,"3 Seeds","Wild Thailand is a pure landrace strain coming from the islands of Ko Chang in Thailand.  It is one of the strains with the highest THC content in the world.  It is loved by the rural Thai farmers who take it Bangkok to sell, risking the very harsh penalties of Thai drug laws.     Wild Thailand is one of the most productive strains in Thailand possibly due to the relative short flowering time compared to some other Thai strains.  Its smell and taste will take you closer to Asia and its effects will show you the mysterious temples of Bangkok.",,"Ko Chang","Mostly Sativa","11 - 13 Weeks",Photoperiod,Feminised,22.30%,Unknown,Medium,"Greenhouse,Grows indoors",,,,"Euphoric,Powerful",https://tiger-one.eu/en/categories/feminised-cannabis-seeds/wild-thailand-seeds-3,,,"World of Seeds, Wholesale Cannabis Seeds, Feminised Cannabis Seeds"
rsc-malana,"2009-06-09 09:41:58","Malana Regular Seeds",rsc-malana,"The Real Seed Company",0.0000,15.8100,,"This famous North Indian charas sativa grows on the high sun-drenched ridges of Himachal Pradesh around the famed village of Malana (renowned for its hand-rubbed top quality charas). Intensely aromatic flowering tips gleam with trichomes and virtually drip with resin. Plants reach heights of over 3 metres and are vigorous and prolifically productive. First-rub charas is produced from these plants with intense care, and is soft and easily molded by warm hands. Aromas are reminiscent of overripe fruit and mango, and are sickly sweet like traditional Indian milk confectionary. Consumed in moderation this strain gives a bright, cerebral buzz which is very sociable and giddy; larger quantities produce a highly mind-altering psychedelic effect.    This is the Champagne of the cannabis resin market.",,"Malana (Himalayan domestic charas strain)","Mostly Sativa",,Photoperiod,Regular,Unknown,Unknown,,,,,,,https://tiger-one.eu/en/categories/regular-cannabis-seeds/malana-seeds,http://tiger-one.eu/media/catalog/product/m/a/malanavillage.jpg,http://tiger-one.eu/media/catalog/product/f/i/file_41_9.jpg,"The Real Seed Company, Wholesale Cannabis Seeds, Regular Cannabis Seeds"
rsc-malana,"2009-06-09 09:41:58","Malana Regular Seeds",RSCMAL12,"The Real Seed Company",15.8100,31.6300,"12 Seeds","This famous North Indian charas sativa grows on the high sun-drenched ridges of Himachal Pradesh around the famed village of Malana (renowned for its hand-rubbed top quality charas). Intensely aromatic flowering tips gleam with trichomes and virtually drip with resin. Plants reach heights of over 3 metres and are vigorous and prolifically productive. First-rub charas is produced from these plants with intense care, and is soft and easily molded by warm hands. Aromas are reminiscent of overripe fruit and mango, and are sickly sweet like traditional Indian milk confectionary. Consumed in moderation this strain gives a bright, cerebral buzz which is very sociable and giddy; larger quantities produce a highly mind-altering psychedelic effect.    This is the Champagne of the cannabis resin market.",,"Malana (Himalayan domestic charas strain)","Mostly Sativa",,Photoperiod,Regular,Unknown,Unknown,,,,,,,https://tiger-one.eu/en/categories/regular-cannabis-seeds/malana-seeds-12,,,"The Real Seed Company, Wholesale Cannabis Seeds, Regular Cannabis Seeds"
parvati,"2009-06-09 09:49:09","Parvati Regular Seeds",parvati,"The Real Seed Company",0.0000,,,"This is an intensely resinous and hashy flavoured strain from the famed Parvati growing region. This strain produces a naturally soft and oily black charas with a classic rich aroma. Hand-rubbing of this strain begins in mid-October and finishes in the first week or two of November. Typically grown on mountain slopes at around 3000m - 3500m, this Parvati variety has an easygoing smoking high of moderate potency. It is thought to have a high CBD content with medical potential and is recommend to those looking for something traditional and flavoursome without the angst and unease of some more modern Western varieties.",,"Traditional Himalayan Charas Cultivar",Sativa,,Photoperiod,Regular,Unknown,Unknown,,,,,,,https://tiger-one.eu/en/categories/regular-cannabis-seeds/parvati-seeds,http://tiger-one.eu/media/catalog/product/p/a/parvati2.jpg,http://tiger-one.eu/media/catalog/product/f/i/file_41_8.jpg,"The Real Seed Company, Wholesale Cannabis Seeds, Regular Cannabis Seeds"
parvati,"2009-06-09 09:49:09","Parvati Regular Seeds",RSCPAV12,"The Real Seed Company",15.8100,31.6300,"12 Seeds","This is an intensely resinous and hashy flavoured strain from the famed Parvati growing region. This strain produces a naturally soft and oily black charas with a classic rich aroma. Hand-rubbing of this strain begins in mid-October and finishes in the first week or two of November. Typically grown on mountain slopes at around 3000m - 3500m, this Parvati variety has an easygoing smoking high of moderate potency. It is thought to have a high CBD content with medical potential and is recommend to those looking for something traditional and flavoursome without the angst and unease of some more modern Western varieties.",,"Traditional Himalayan Charas Cultivar",Sativa,,Photoperiod,Regular,Unknown,Unknown,,,,,,,https://tiger-one.eu/en/categories/regular-cannabis-seeds/parvati-seeds-12,,,"The Real Seed Company, Wholesale Cannabis Seeds, Regular Cannabis Seeds"
amnesia-lemon,"2009-06-11 12:19:12","Amnesia Lemon Feminised Seeds",amnesia-lemon,"Barney's Farm Seeds",0.0000,8.7500,,"Amnesia Lemon was created in collaboration with Barneys and the legendary Soma, winning the Cannabis Cup in 2004. Following this huge win Soma passed on his very best phenotype of Amnesia Haze to Barneys Farm Labs. Amnesia Lemon is a delicious blend made by a crossing Amnesia Haze with Lemon Skunk. The tantalising flavours combined with the power and resilience of both lineages produced this spectacular strain. The uplifting and cerebral high is definitely Sativa and will leaving you wanting more. The Amnesia Lemon has a flowering cycle of just 8 to 9 weeks and grows medium high, with long dense colas.",,"Soma’s Amnesia Haze x Lemon Skunk.","Mostly Sativa","60-65 days",Photoperiod,Feminised,21%,"Low (0-1%)",High,"Greenhouse,Grows indoors,Grows outdoors","100 - 110 cm (indoor)",,,"Cerebral,Uplifting",https://tiger-one.eu/en/categories/feminised-cannabis-seeds/amnesia-lemon-seeds,http://tiger-one.eu/media/catalog/product/a/m/amnesialemon.jpg,http://tiger-one.eu/media/catalog/product/l/a/large_amnesia-lemon_1_580412.jpg,"Barney's Farm, Wholesale Cannabis Seeds, Feminised Cannabis Seeds"
amnesia-lemon,"2009-06-11 12:19:12","Amnesia Lemon Feminised Seeds",BFS638-F10,"Barney's Farm Seeds",30.9900,75.0000,"10 Seeds","Amnesia Lemon was created in collaboration with Barneys and the legendary Soma, winning the Cannabis Cup in 2004. Following this huge win Soma passed on his very best phenotype of Amnesia Haze to Barneys Farm Labs. Amnesia Lemon is a delicious blend made by a crossing Amnesia Haze with Lemon Skunk. The tantalising flavours combined with the power and resilience of both lineages produced this spectacular strain. The uplifting and cerebral high is definitely Sativa and will leaving you wanting more. The Amnesia Lemon has a flowering cycle of just 8 to 9 weeks and grows medium high, with long dense colas.",,"Soma’s Amnesia Haze x Lemon Skunk.","Mostly Sativa","60-65 days",Photoperiod,Feminised,21%,"Low (0-1%)",High,"Greenhouse,Grows indoors,Grows outdoors","100 - 110 cm (indoor)",,,"Cerebral,Uplifting",https://tiger-one.eu/en/categories/feminised-cannabis-seeds/amnesia-lemon-seeds-10,,,"Barney's Farm, Wholesale Cannabis Seeds, Feminised Cannabis Seeds"
amnesia-lemon,"2009-06-11 12:19:12","Amnesia Lemon Feminised Seeds",BFS637-F5,"Barney's Farm Seeds",17.3600,42.0000,"5 Seeds","Amnesia Lemon was created in collaboration with Barneys and the legendary Soma, winning the Cannabis Cup in 2004. Following this huge win Soma passed on his very best phenotype of Amnesia Haze to Barneys Farm Labs. Amnesia Lemon is a delicious blend made by a crossing Amnesia Haze with Lemon Skunk. The tantalising flavours combined with the power and resilience of both lineages produced this spectacular strain. The uplifting and cerebral high is definitely Sativa and will leaving you wanting more. The Amnesia Lemon has a flowering cycle of just 8 to 9 weeks and grows medium high, with long dense colas.",,"Soma’s Amnesia Haze x Lemon Skunk.","Mostly Sativa","60-65 days",Photoperiod,Feminised,21%,"Low (0-1%)",High,"Greenhouse,Grows indoors,Grows outdoors","100 - 110 cm (indoor)",,,"Cerebral,Uplifting",https://tiger-one.eu/en/categories/feminised-cannabis-seeds/amnesia-lemon-seeds-5,,,"Barney's Farm, Wholesale Cannabis Seeds, Feminised Cannabis Seeds"
blue-cheese,"2009-06-11 12:42:31","Blue Cheese Feminised Seeds",blue-cheese,"Barney's Farm Seeds",0.0000,9.5000,,"This strain of Blue Cheese is one of the best and strongest on the market, and is guaranteed to knock your head off. This is an easy to grow strain, which creates an incredible yield of fragrant and tasty buds. The intense aged-cheese flavours are softened by a sweet blueberry aftertaste. The short stocky plant has strong side branches which develop heavy sticky colas in a short flowering period. Prepare to relax because this is a true sensation for Indica enthusiasts. This is now available in an autoflowering strain. ",,"Original Cheese x Blueberry","Mostly Indica","52 - 57 days",Photoperiod,Feminised,23%,"Low (0-1%)",High,"Greenhouse,Grows indoors,Grows outdoors","80 - 90 cm (indoor)",,,Relaxing,https://tiger-one.eu/en/categories/feminised-cannabis-seeds/blue-cheese-seeds,http://tiger-one.eu/media/catalog/product/b/l/bluecheese.jpg,http://tiger-one.eu/media/catalog/product/f/i/file_41_3.jpg,"Barney's Farm, Bestsellers, Wholesale Cannabis Seeds, Feminised Cannabis Seeds"
blue-cheese,"2009-06-11 12:42:31","Blue Cheese Feminised Seeds",BFS632-F10,"Barney's Farm Seeds",32.6400,79.0000,"10 Seeds","This strain of Blue Cheese is one of the best and strongest on the market, and is guaranteed to knock your head off. This is an easy to grow strain, which creates an incredible yield of fragrant and tasty buds. The intense aged-cheese flavours are softened by a sweet blueberry aftertaste. The short stocky plant has strong side branches which develop heavy sticky colas in a short flowering period. Prepare to relax because this is a true sensation for Indica enthusiasts. This is now available in an autoflowering strain. ",,"Original Cheese x Blueberry","Mostly Indica","52 - 57 days",Photoperiod,Feminised,23%,"Low (0-1%)",High,"Greenhouse,Grows indoors,Grows outdoors","80 - 90 cm (indoor)",,,Relaxing,https://tiger-one.eu/en/categories/feminised-cannabis-seeds/blue-cheese-seeds-10,,,"Barney's Farm, Wholesale Cannabis Seeds, Feminised Cannabis Seeds"
blue-cheese,"2009-06-11 12:42:31","Blue Cheese Feminised Seeds",BFS631-F5,"Barney's Farm Seeds",18.1800,44.0000,"5 Seeds","This strain of Blue Cheese is one of the best and strongest on the market, and is guaranteed to knock your head off. This is an easy to grow strain, which creates an incredible yield of fragrant and tasty buds. The intense aged-cheese flavours are softened by a sweet blueberry aftertaste. The short stocky plant has strong side branches which develop heavy sticky colas in a short flowering period. Prepare to relax because this is a true sensation for Indica enthusiasts. This is now available in an autoflowering strain. ",,"Original Cheese x Blueberry","Mostly Indica","52 - 57 days",Photoperiod,Feminised,23%,"Low (0-1%)",High,"Greenhouse,Grows indoors,Grows outdoors","80 - 90 cm (indoor)",,,Relaxing,https://tiger-one.eu/en/categories/feminised-cannabis-seeds/blue-cheese-feminised-seeds-5-413,,,"Barney's Farm, Wholesale Cannabis Seeds, Feminised Cannabis Seeds"
crimea-blue,"2009-06-11 12:51:46","Crimea Blue Feminised Seeds",crimea-blue,"Barney's Farm Seeds",0.0000,23.0000,,"Crimea Blue was created by crossing the hugely popular, fruitful Blueberry strain with the earthy spiciness of a hardy Crimean Hash plant. With this exclusive crossing, Barneys Farm has created a new flavour sensation. With delicious flavours of lemon peel and rosemary, Crimea Blue gives you a long lasting, psychoactive high. This fast flowering plant grows short and thick, producing above average yields of large, heavy colas. Ideal for both SOG and ScrOG growing systems, the rewards far outweigh the required gardening efforts.",,"Turkman x Blueberry","Mostly Indica","55 - 60 days",Photoperiod,Feminised,18%,"Low (0-1%)",High,"Greenhouse,Grows indoors,Grows outdoors","70-80 cm",,,"Long-lasting,Stimulating ",https://tiger-one.eu/en/categories/feminised-cannabis-seeds/crimea-blue-seeds,http://tiger-one.eu/media/catalog/product/c/r/crimea-blue.jpg,http://tiger-one.eu/media/catalog/product/f/i/file_41_1.jpg,"Barney's Farm, Wholesale Cannabis Seeds, Feminised Cannabis Seeds"
crimea-blue,"2009-06-11 12:51:46","Crimea Blue Feminised Seeds",BFS608-F10,"Barney's Farm Seeds",24.3800,59.0000,"10 Seeds","Crimea Blue was created by crossing the hugely popular, fruitful Blueberry strain with the earthy spiciness of a hardy Crimean Hash plant. With this exclusive crossing, Barneys Farm has created a new flavour sensation. With delicious flavours of lemon peel and rosemary, Crimea Blue gives you a long lasting, psychoactive high. This fast flowering plant grows short and thick, producing above average yields of large, heavy colas. Ideal for both SOG and ScrOG growing systems, the rewards far outweigh the required gardening efforts.",,"Turkman x Blueberry","Mostly Indica","55 - 60 days",Photoperiod,Feminised,18%,"Low (0-1%)",High,"Greenhouse,Grows indoors,Grows outdoors","70-80 cm",,,"Long-lasting,Stimulating ",https://tiger-one.eu/en/categories/feminised-cannabis-seeds/crimea-blue-seeds-10,,,"Barney's Farm, Wholesale Cannabis Seeds, Feminised Cannabis Seeds"
